nome,segmento,cidade_sede,estado_sede,investimento_min,faturamento_medio_mensal,prazo_retorno_meses,num_unidades,anos_mercado,royalties_pct,tem_selo_excelencia,coletado_em,fonte
Cacau Show,Alimentacao,Leme,SP,80000,80000,24,4800,34,4.0,True,2026-05-08,referencia_manual_abf_2024
McDonalds,Alimentacao,Sao Paulo,SP,1500000,600000,48,2700,50,5.0,True,2026-05-08,referencia_manual_abf_2024
Subway,Alimentacao,Sao Paulo,SP,400000,80000,36,1900,32,8.0,True,2026-05-08,referencia_manual_abf_2024
Bobs,Alimentacao,Rio de Janeiro,RJ,600000,150000,36,1100,73,5.0,True,2026-05-08,referencia_manual_abf_2024
Giraffas,Alimentacao,Brasilia,DF,800000,200000,36,400,42,5.0,True,2026-05-08,referencia_manual_abf_2024
Spoleto,Alimentacao,Rio de Janeiro,RJ,500000,120000,36,300,29,6.0,True,2026-05-08,referencia_manual_abf_2024
Habibs,Alimentacao,Sao Paulo,SP,500000,200000,36,400,35,5.0,False,2026-05-08,referencia_manual_abf_2024
Burger King,Alimentacao,Sao Paulo,SP,1500000,500000,48,1000,55,4.5,True,2026-05-08,referencia_manual_abf_2024
KFC,Alimentacao,Sao Paulo,SP,1500000,400000,48,270,31,5.0,False,2026-05-08,referencia_manual_abf_2024
AM PM,Alimentacao,Sao Paulo,SP,250000,90000,24,1500,40,0.0,False,2026-05-08,referencia_manual_abf_2024
Rei do Mate,Alimentacao,Sao Paulo,SP,100000,40000,24,500,49,8.0,True,2026-05-08,referencia_manual_abf_2024
Vivenda do Camarao,Alimentacao,Sao Paulo,SP,400000,120000,36,100,30,5.0,True,2026-05-08,referencia_manual_abf_2024
Market4U,Alimentacao,Sao Paulo,SP,40000,11000,5,2200,6,0.0,False,2026-05-08,referencia_manual_abf_2024
O Boticario,Saude_Beleza,Curitiba,PR,300000,180000,36,3700,46,2.5,True,2026-05-08,referencia_manual_abf_2024
OdontoCompany,Saude_Beleza,Sao Paulo,SP,200000,120000,30,2000,26,7.0,True,2026-05-08,referencia_manual_abf_2024
