nome,segmento,cidade_sede,estado_sede,investimento_min,faturamento_medio_mensal,prazo_retorno_meses,num_unidades,anos_mercado,royalties_pct,tem_selo_excelencia,coletado_em,fonte,populacao_estimada,pib_per_capita,idh,regiao,uf_sede,fonte_geo,codigo_ibge,unidades_por_ano,benchmark_segmento,crescimento_relativo,sucesso_binario,taxa_sobrevivencia_segmento,porte_investimento
Cacau Show,Alimentacao,Leme,SP,80000,80000,24,4800,34,4.0,True,2026-05-08,referencia_manual_abf_2024,150000.0,28000.0,0.73,Não identificada,SP,estimativa_nacional,,141.18,15.07,9.368,1,0.78,Micro (até R$130k)
McDonalds,Alimentacao,Sao Paulo,SP,1500000,600000,48,2700,50,5.0,True,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,54.0,15.07,3.583,1,0.78,Grande (acima R$500k)
Subway,Alimentacao,Sao Paulo,SP,400000,80000,36,1900,32,8.0,True,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,59.38,15.07,3.94,1,0.78,Médio (R$130k–R$500k)
Bobs,Alimentacao,Rio de Janeiro,RJ,600000,150000,36,1100,73,5.0,True,2026-05-08,referencia_manual_abf_2024,6748000.0,45000.0,0.799,Sudeste,RJ,referencia_embutida,,15.07,15.07,1.0,1,0.78,Grande (acima R$500k)
Giraffas,Alimentacao,Brasilia,DF,800000,200000,36,400,42,5.0,True,2026-05-08,referencia_manual_abf_2024,3059000.0,62000.0,0.824,Centro-Oeste,DF,referencia_embutida,,9.52,15.07,0.632,0,0.78,Grande (acima R$500k)
Spoleto,Alimentacao,Rio de Janeiro,RJ,500000,120000,36,300,29,6.0,True,2026-05-08,referencia_manual_abf_2024,6748000.0,45000.0,0.799,Sudeste,RJ,referencia_embutida,,10.34,15.07,0.686,0,0.78,Médio (R$130k–R$500k)
Habibs,Alimentacao,Sao Paulo,SP,500000,200000,36,400,35,5.0,False,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,11.43,15.07,0.758,0,0.78,Médio (R$130k–R$500k)
Burger King,Alimentacao,Sao Paulo,SP,1500000,500000,48,1000,55,4.5,True,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,18.18,15.07,1.206,1,0.78,Grande (acima R$500k)
KFC,Alimentacao,Sao Paulo,SP,1500000,400000,48,270,31,5.0,False,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,8.71,15.07,0.578,0,0.78,Grande (acima R$500k)
AM PM,Alimentacao,Sao Paulo,SP,250000,90000,24,1500,40,0.0,False,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,37.5,15.07,2.488,1,0.78,Médio (R$130k–R$500k)
Rei do Mate,Alimentacao,Sao Paulo,SP,100000,40000,24,500,49,8.0,True,2026-05-08,referencia_manual_abf_2024,12325000.0,62000.0,0.805,Sudeste,SP,referencia_embutida,,10.2,15.07,0.677,0,0.78,Micro (até R$130k)
